년도,구분,인구수,죄종,발생,검거,범죄율(10만명당),검거율(%)
2021,강남구,812844,"강간,추행",578,454,71.11,78.55
2021,강남구,812844,강도,25,23,3.08,92.0
2021,강남구,812844,살인,12,11,1.48,91.67
2021,강남구,812844,절도,2372,1160,291.81,48.9
2021,강남구,812844,폭력,3159,2749,388.64,87.02
2021,강남구,812844,합계,6146,4397,756.11,71.54
2021,강동구,513315,"강간,추행",124,103,24.16,83.06
2021,강동구,513315,강도,6,6,1.17,100.0
2021,강동구,513315,살인,3,3,0.58,100.0
2021,강동구,513315,절도,1612,889,314.04,55.15
2021,강동구,513315,폭력,1713,1461,333.71,85.29
2021,강동구,513315,합계,3458,2462,673.66,71.2
2021,강북구,299896,"강간,추행",136,115,45.35,84.56
2021,강북구,299896,강도,1,1,0.33,100.0
2021,강북구,299896,살인,4,4,1.33,100.0
2021,강북구,299896,절도,777,537,259.09,69.11
2021,강북구,299896,폭력,1383,1255,461.16,90.74
2021,강북구,299896,합계,2301,1912,767.27,83.09
2021,강서구,552297,"강간,추행",246,188,44.54,76.42
2021,강서구,552297,강도,3,3,0.54,100.0
2021,강서구,552297,살인,9,7,1.63,77.78
2021,강서구,552297,절도,1540,921,278.84,59.81
2021,강서구,552297,폭력,2098,1925,379.87,91.75
2021,강서구,552297,합계,3896,3044,705.42,78.13
2021,관악구,492855,"강간,추행",321,269,65.13,83.8
2021,관악구,492855,강도,7,6,1.42,85.71
2021,관악구,492855,살인,8,4,1.62,50.0
2021,관악구,492855,절도,1860,929,377.39,49.95
2021,관악구,492855,폭력,2248,1926,456.12,85.68
2021,관악구,492855,합계,4444,3134,901.69,70.52
2021,광진구,377495,"강간,추행",208,161,55.1,77.4
2021,광진구,377495,강도,4,4,1.06,100.0
2021,광진구,377495,살인,5,3,1.32,60.0
2021,광진구,377495,절도,1414,754,374.57,53.32
2021,광진구,377495,폭력,1456,1280,385.7,87.91
2021,광진구,377495,합계,3087,2202,817.76,71.33
2021,구로구,418950,"강간,추행",182,118,43.44,64.84
2021,구로구,418950,강도,2,1,0.48,50.0
2021,구로구,418950,살인,5,5,1.19,100.0
2021,구로구,418950,절도,1390,770,331.78,55.4
2021,구로구,418950,폭력,1907,1537,455.19,80.6
2021,구로구,418950,합계,3486,2431,832.08,69.74
2021,금천구,237786,"강간,추행",134,103,56.35,76.87
2021,금천구,237786,강도,3,4,1.26,133.33
2021,금천구,237786,살인,7,6,2.94,85.71
2021,금천구,237786,절도,1013,520,426.01,51.33
2021,금천구,237786,폭력,1282,1108,539.14,86.43
2021,금천구,237786,합계,2439,1741,1025.71,71.38
2021,노원구,514361,"강간,추행",156,126,30.33,80.77
2021,노원구,514361,강도,3,3,0.58,100.0
2021,노원구,514361,살인,6,6,1.17,100.0
2021,노원구,514361,절도,1361,654,264.6,48.05
2021,노원구,514361,폭력,1899,1513,369.2,79.67
2021,노원구,514361,합계,3425,2302,665.87,67.21
2021,도봉구,278444,강간,72,64,25.86,88.89
2021,도봉구,278444,강도,2,1,0.72,50.0
2021,도봉구,278444,살인,2,2,0.72,100.0
2021,도봉구,278444,절도,772,376,277.26,48.7
2021,도봉구,278444,폭력,1012,851,363.45,84.09
2021,도봉구,278444,합계,1860,1294,668.0,69.57
2021,동대문구,369892,"강간,추행",169,147,45.69,86.98
2021,동대문구,369892,강도,7,8,1.89,114.29
2021,동대문구,369892,살인,3,4,0.81,133.33
2021,동대문구,369892,절도,1240,659,335.23,53.15
2021,동대문구,369892,폭력,1540,1295,416.34,84.09
2021,동대문구,369892,합계,2959,2113,799.96,71.41
2021,동작구,393429,"강간,추행",180,94,45.75,52.22
2021,동작구,393429,강도,1,1,0.25,100.0
2021,동작구,393429,살인,2,3,0.51,150.0
2021,동작구,393429,절도,1129,675,286.96,59.79
2021,동작구,393429,폭력,1319,1056,335.26,80.06
2021,동작구,393429,합계,2631,1829,668.74,69.52
2021,마포구,463402,"강간,추행",321,275,69.27,85.67
2021,마포구,463402,강도,4,4,0.86,100.0
2021,마포구,463402,살인,4,3,0.86,75.0
2021,마포구,463402,절도,1510,730,325.85,48.34
2021,마포구,463402,폭력,1701,1367,367.07,80.36
2021,마포구,463402,합계,3540,2379,763.92,67.2
2021,서대문구,376648,"강간,추행",137,120,36.37,87.59
2021,서대문구,376648,강도,2,2,0.53,100.0
2021,서대문구,376648,살인,3,3,0.8,100.0
2021,서대문구,376648,절도,1027,562,272.67,54.72
2021,서대문구,376648,폭력,1109,907,294.44,81.79
2021,서대문구,376648,합계,2278,1594,604.81,69.97
2021,서초구,572769,강간,47,37,8.21,78.72
2021,서초구,572769,"강간,추행",265,191,46.27,72.08
2021,서초구,572769,강도,5,5,0.87,100.0
2021,서초구,572769,살인,9,9,1.57,100.0
2021,서초구,572769,절도,1503,691,262.41,45.97
2021,서초구,572769,폭력,1827,1506,318.98,82.43
2021,서초구,572769,합계,3656,2439,638.3,66.71
2021,성동구,357660,"강간,추행",110,82,30.76,74.55
2021,성동구,357660,강도,4,1,1.12,25.0
2021,성동구,357660,살인,3,4,0.84,133.33
2021,성동구,357660,절도,905,497,253.03,54.92
2021,성동구,357660,폭력,1090,926,304.76,84.95
2021,성동구,357660,합계,2112,1510,590.5,71.5
2021,성북구,433522,강간,118,88,27.22,74.58
2021,성북구,433522,강도,2,2,0.46,100.0
2021,성북구,433522,살인,4,3,0.92,75.0
2021,성북구,433522,절도,895,474,206.45,52.96
2021,성북구,433522,폭력,1392,1220,321.09,87.64
2021,성북구,433522,합계,2411,1787,556.14,74.12
2021,송파구,752565,"강간,추행",247,216,32.82,87.45
