구,동,면적,CCTV 수,설치 비율
,,면적 (k㎡),카메라대수,카메라 수 / 면적
소계,소계,605.25,106681,176.259 
종로구,소계,23.91,2759,115.391 
,청운효자동,2.57,397,154.475 
,사직동,1.23,216,175.610 
,삼청동,1.49,108,72.483 
,부암동,2.27,156,68.722 
,평창동,8.87,242,27.283 
,무악동,0.36,84,233.333 
,교남동,0.35,118,337.143 
,가회동,0.54,81,150.000 
,종로1.2.3.4가동,2.35,346,147.234 
,종로5.6가동,0.6,139,231.667 
,이화동,0.78,103,132.051 
,혜화동,1.12,316,282.143 
,창신1동,0.31,54,174.194 
,창신2동,0.26,97,373.077 
,창신3동,0.23,36,156.522 
,숭인1동,0.23,126,547.826 
,숭인2동,0.35,140,400.000 
중구,소계,9.96,2768,277.912 
,소공동,0.95,153,161.053 
,회현동,0.84,256,304.762 
,명동,0.99,243,245.455 
,필동,1.14,184,161.404 
,장충동,1.36,213,156.618 
,광희동,0.74,178,240.541 
,을지로동,0.6,124,206.667 
,신당동,0.55,225,409.091 
,다산동,0.51,300,588.235 
,약수동,0.48,155,322.917 
,청구동,0.34,151,444.118 
,신당5동,0.39,148,379.487 
,동화동,0.26,116,446.154 
,황학동,0.33,123,372.727 
,중림동,0.48,199,414.583 
용산구,소계,21.87,5588,255.510 
,후암동,0.86,516,600.000 
,용산2가동,1.96,478,243.878 
,남영동,1.19,234,196.639 
,청파동,0.91,671,737.363 
,원효로1동,0.59,233,394.915 
,원효로2동,0.71,257,361.972 
,효창동,0.44,232,527.273 
,용문동,0.28,220,785.714 
,한강로동,2.9,400,137.931 
,이촌1동,2.86,180,62.937 
,이촌2동,1.22,180,147.541 
,이태원1동,0.57,338,592.982 
,이태원2동,0.86,362,420.930 
,한남동,3.01,573,190.365 
,서빙고동,2.8,277,98.929 
,보광동,0.71,437,615.493 
성동구,소계,16.82,3245,192.925 
,왕십리2동,0.41,199,485.366 
,왕십리도선동,0.72,191,265.278 
,마장동,1.05,319,303.810 
,사근동,1.1,271,246.364 
,행당1동,0.59,166,281.356 
,행당2동,0.42,96,228.571 
,응봉동,0.57,148,259.649 
,금호1가동,0.46,80,173.913 
,금호2.3가동,0.64,199,310.938 
,금호4가동,0.84,170,202.381 
,옥수동,1.94,143,73.711 
,성수1가1동,1.97,177,89.848 
,성수1가2동,0.89,180,202.247 
,성수2가1동,1.17,209,178.632 
,성수2가3동,1.03,221,214.563 
,송정동,0.75,252,336.000 
,용답동,2.31,224,96.970 
광진구,소계,17.06,1124,65.885 
,화양동,1.16,81,69.828 
,군자동,0.74,78,105.405 
,중곡1동,0.62,42,67.742 
,중곡2동,0.55,57,103.636 
,중곡3동,0.6,73,121.667 
,중곡4동,2.32,109,46.983 
,능동,1.1,56,50.909 
,광장동,2.39,109,45.607 
,자양1동,0.57,63,110.526 
,자양2동,1.68,83,49.405 
,자양3동,1.2,49,40.833 
,자양4동,1.16,67,57.759 
,구의1동,0.56,67,119.643 
,구의2동,1.39,119,85.612 
,구의3동,1.02,71,69.608 
동대문구,소계,14.22,3748,263.572 
,신설동,0.85,180,211.765 
,용두동,0.76,236,310.526 
,제기동,1.18,375,317.797 
,전농1동,1.19,302,253.782 
,전농2동,0.86,265,308.140 
,답십리1동,0.81,233,287.654 
,답십리2동,0.85,253,297.647 
,장안1동,1.25,352,281.600 
,장안2동,1.09,268,245.872 
,청량리동,1.2,234,195.000 
,회기동,0.76,161,211.842 
,휘경1동,0.63,172,273.016 
,휘경2동,1.05,308,293.333 
,이문1동,1.04,217,208.654 
,이문2동,0.69,192,278.261 
중랑구,소계,18.5,5254,284.000 
,면목2동,0.73,326,446.575 
,면목4동,1.1,289,262.727 
,면목5동,0.64,213,332.813 
,면목본동,1.01,455,450.495 
,면목7동,0.87,324,372.414 
,면목3.8동,1.67,477,285.629 
,상봉1동,0.85,271,318.824 
,상봉2동,0.68,233,342.647 
,중화1동,0.68,217,319.118 
,중화2동,0.98,378,385.714 
,묵1동,1.2,376,313.333 
,묵2동,0.7,280,400.000 
,망우본동,2.88,661,229.514 
,망우3동,0.99,286,288.889 
,신내1동,2.53,319,126.087 
,신내2동,0.99,149,150.505 
성북구,소계,24.59,3635,147.824 
,성북동,2.86,326,113.986 
,삼선동,0.92,227,246.739 
,동선동,0.73,155,212.329 
,돈암1동,0.49,99,202.041 
,돈암2동,0.48,48,100.000 
,안암동,1.33,165,124.060 
,보문동,0.56,147,262.500 
,정릉1동,0.44,109,247.727 
,정릉2동,1.17,183,156.410 
,정릉3동,3.71,248,66.846 
,정릉4동,3.13,192,61.342 
,길음1동,0.79,99,125.316 
,길음2동,0.58,99,170.690 
,종암동,1.46,213,145.890 
,월곡1동,0.81,162,200.000 
,월곡2동,1.36,186,136.765 
,장위1동,0.7,364,520.000 
,장위2동,0.67,201,300.000 
,장위3동,0.65,89,136.923 
,석관동,1.73,323,186.705 
강북구,소계,23.61,4210,178.314 
,삼양동,0.91,525,576.923 
,미아동,0.93,302,324.731 
,송중동,1.01,428,423.762 
,송천동,0.9,361,401.111 
,삼각산동,0.62,112,180.645 
,번1동,0.66,258,390.909 
,번2동,0.95,348,366.316 
,번3동,1.1,92,83.636 
,수유1동,1.67,341,204.192 
,수유2동,0.57,222,389.474 
,수유3동,0.72,287,398.611 
