경찰서,관서명,구분,주소,Coordinates,,,,,,,,,,,,,,,,,,,,
서울중부,을지,지구대,서울특별시 중구 퇴계로49길 13,"37.5630721,127.0001526",,,,,,,,,,,,,,,,,,,,
서울중부,광희,지구대,서울특별시 중구 퇴계로 375-1,"37.5652432,127.0133851",,,,,,,,,,,,,,,,,,,,
서울중부,약수,지구대,서울특별시 중구 동호로 5길 15,"37.5521517,127.0123555",,,,,,,,,,,,,,,,,,,,
서울중부,신당,파출소,"서울특별시 중구 다산로 248 (신당동, 신당파출소)","37.5650079,127.0163825",,,,,,,,,,,,,,,,,,,,
서울중부,장충,파출소,서울특별시 중구 동호로 261,"37.5588159,127.0048761",,,,,,,,,,,,,,,,,,,,
서울중부,충무,파출소,서울특별시 중구 퇴계로 178,"37.5608522,126.9915765",,,,,,,,,,,,,,,,,,,,
서울중부,을지로3가,파출소,서울특별시 중구 충무로56-1,"37.5661811,126.9928486",,,,,,,,,,,,,,,,,,,,
서울종로,종로2가,지구대,서울특별시 종로구 종로17길 4,"37.5705017,126.9889217",,,,,,,,,,,,,,,,,,,,
서울종로,관수,파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),"37.5687218,126.9863674",,,,,,,,,,,,,,,,,,,,
서울종로,세검정,파출소,서울특별시 종로구 세검정로 226,"37.6000351,126.9584514",,,,,,,,,,,,,,,,,,,,
서울종로,평창,파출소,서울특별시 종로구 평창문화로 46,"37.6047609,126.9654294",,,,,,,,,,,,,,,,,,,,
서울종로,삼청,파출소,서울특별시 종로구 삼청로 75-2 (팔판동),"37.5818545,126.9810034",,,,,,,,,,,,,,,,,,,,
서울종로,통의,파출소,서울특별시 종로구 효자로 9,"37.57677049999999,126.9740008",,,,,,,,,,,,,,,,,,,,
서울종로,청운,파출소,서울특별시 종로구 자하문로 92-1,"37.5841381,126.9705976",,,,,,,,,,,,,,,,,,,,
서울종로,옥인,파출소,서울특별시 종로구 자하문로17길 24,"37.5814725,126.9694271",,,,,,,,,,,,,,,,,,,,
서울종로,교남,파출소,서울특별시 종로구 송월길 152,"37.5718027,126.9621944",,,,,,,,,,,,,,,,,,,,
서울종로,세종로,파출소,서울특별시 중구 세종대로 141,"37.5689364,126.9764239",,,,,,,,,,,,,,,,,,,,
서울종로,신문로,파출소,서울특별시 종로구 경희궁길 6-3,"37.570751,126.9722054",,,,,,,,,,,,,,,,,,,,
서울종로,사직,파출소,서울특별시 종로구 사직로9가길 6 1층,"37.57656679999999,126.9690394",,,,,,,,,,,,,,,,,,,,
서울종로,청진,파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소),"37.5729767,126.9826646",,,,,,,,,,,,,,,,,,,,
서울남대문,태평로,파출소,서울특별시 중구 다동길 11,"37.5680342,126.9800551",,,,,,,,,,,,,,,,,,,,
서울남대문,서울역,파출소,서울특별시 중구 통일로 15,"37.5562987,126.9718126",,,,,,,,,,,,,,,,,,,,
서울남대문,명동,파출소,서울특별시 중구 명동길 30 명동파출소,"37.5635808,126.983966",,,,,,,,,,,,,,,,,,,,
서울남대문,남대문,파출소,서울특별시 중구 남대문시장4길 28-16,"37.5594216,126.9762398",,,,,,,,,,,,,,,,,,,,
서울남대문,중림,파출소,서울특별시 중구 중림로 36,"37.5578847,126.9671311",,,,,,,,,,,,,,,,,,,,
서울남대문,회현,파출소,서울특별시 중구 퇴계로6길 3-15,"37.5584538,126.9786466",,,,,,,,,,,,,,,,,,,,
서울남대문,서소문,파출소,서울특별시 중구 서소문로 131-1 서소문파출소,"37.5638544,126.975449",,,,,,,,,,,,,,,,,,,,
서울서대문,충정로,지구대,서울특별시 서대문구 독립문로 25-1,"37.5698922,126.9611209",,,,,,,,,,,,,,,,,,,,
서울서대문,신촌,지구대,서울특별시 서대문구 신촌역로 22,"37.5585748,126.9429921",,,,,,,,,,,,,,,,,,,,
서울서대문,홍은,파출소,서울특별시 서대문구 세검정로1길 112,"37.5952417,126.946418",,,,,,,,,,,,,,,,,,,,
서울서대문,연희,파출소,서울특별시 서대문구 연희로25길 73,"37.5703278,126.9329029",,,,,,,,,,,,,,,,,,,,
서울서대문,남가좌,파출소,서울특별시 서대문구 가재울로4길 51,"37.5760219,126.9240678",,,,,,,,,,,,,,,,,,,,
서울서대문,북가좌,파출소,서울특별시 서대문구 응암로1길 13,"37.5814053,126.9105968",,,,,,,,,,,,,,,,,,,,
서울서대문,홍제,파출소,서울특별시 서대문구 통일로 441-1,"37.5881612,126.9445399",,,,,,,,,,,,,,,,,,,,
서울서대문,홍은2,파출소,서울특별시 서대문구 연희로 298,"37.5836756,126.9361657",,,,,,,,,,,,,,,,,,,,
서울혜화,혜화,파출소,서울특별시 종로구 창경궁로 279,"37.5861068,127.0014054",,,,,,,,,,,,,,,,,,,,
서울혜화,대학로,파출소,서울특별시 종로구 이화장2길 33,"37.5785962,127.0060393",,,,,,,,,,,,,,,,,,,,
서울혜화,명륜,파출소,서울특별시 종로구 성균관로 78,"37.58929639999999,126.9976135",,,,,,,,,,,,,,,,,,,,
서울혜화,창신,파출소,서울특별시 종로구 지봉로13길 20-12,"37.5784788,127.0136459",,,,,,,,,,,,,,,,,,,,
서울혜화,동묘,파출소,서울특별시 종로구 종로58가길 19 동묘파출소,"37.5726459,127.0171044",,,,,,,,,,,,,,,,,,,,
서울혜화,덕산,파출소,서울시 종로구 낙산성곽동길 20-1,"37.5744182,127.0093553",,,,,,,,,,,,,,,,,,,,
서울혜화,종로5가,파출소,서울특별시 종로구 동호로 407,"37.5707326,127.0016342",,,,,,,,,,,,,,,,,,,,
서울혜화,효제,파출소,서울특별시 종로구 종로41나길 24-6,"37.5729461,127.0048693",,,,,,,,,,,,,,,,,,,,
서울용산,원효,지구대,서울특별시 용산구 백범로 329,"37.5386609,126.9655062",,,,,,,,,,,,,,,,,,,,
서울용산,용중,지구대,"서울특별시 용산구 후암로16나길 17, 용중지구대","37.5491203,126.9784422",,,,,,,,,,,,,,,,,,,,
서울용산,이태원,파출소,서울특별시 용산구 이태원로 184,"37.5342949,126.9944044",,,,,,,,,,,,,,,,,,,,
서울용산,한남,파출소,"서울특별시 용산구 대사관로34길 53, 한남파출소","37.5310164,127.0062836",,,,,,,,,,,,,,,,,,,,
서울용산,보광,파출소,"서울특별시 용산구 보광로 25-1, 보광파출소","37.5268368,127.0001932",,,,,,,,,,,,,,,,,,,,
서울용산,삼각지,파출소,서울특별시 용산구 한강대로198-2,"37.5361157,126.9747139",,,,,,,,,,,,,,,,,,,,
서울용산,한강로,지구대,서울특별시 용산구 서빙고로67,"37.5242741,126.9706849",,,,,,,,,,,,,,,,,,,,
서울성북,돈암,지구대,서울특별시 성북구 아리랑로5길 54,"37.5972819,127.0123966",,,,,,,,,,,,,,,,,,,,
서울성북,안암,지구대,서울특별시 성북구 지봉로21길 45,"37.5866821,127.0166001",,,,,,,,,,,,,,,,,,,,
서울성북,길음,지구대,서울특별시 성북구 삼양로13길 51 길음지구대,"37.6106292,127.0192457",,,,,,,,,,,,,,,,,,,,
서울성북,정릉,파출소,서울특별시 성북구 솔샘로 111,"37.6160838,127.0086109",,,,,,,,,,,,,,,,,,,,
서울성북,정릉2,파출소,서울특별시 성북구 정릉로26길 6 정릉2파출소,"37.6045307,127.0106875",,,,,,,,,,,,,,,,,,,,
서울성북,성북,파출소,서울특별시 성북구 성북로 94 성북파출소,"37.5932791,126.9985215",,,,,,,,,,,,,,,,,,,,
서울동대문,답십리,지구대,서울시 동대문구 사가정로 2길 9,"37.5712809,127.0511477",,,,,,,,,,,,,,,,,,,,
서울동대문,용신,지구대,서울특별시 동대문구 청계천로549,"37.5728426,127.0372307",,,,,,,,,,,,,,,,,,,,
서울동대문,청량리,파출소,서울특별시 동대문구 약령시로21가길 15,"37.5844505,127.0451114",,,,,,,,,,,,,,,,,,,,
서울동대문,제기,파출소,서울특별시 동대문구 약령시로 17길 59-11,"37.5855849,127.0420335",,,,,,,,,,,,,,,,,,,,
서울동대문,전농1,파출소,서울특별시 동대문구 서울시립대로 56,"37.5761361,127.0479386",,,,,,,,,,,,,,,,,,,,
서울동대문,전농2,파출소,서울특별시 동대문구 전농로38다길 21,"37.5863258,127.0542318",,,,,,,,,,,,,,,,,,,,
서울동대문,장안1,파출소,서울특별시 동대문구 한천로20길 9,"37.5696324,127.0649855",,,,,,,,,,,,,,,,,,,,
서울동대문,장안2,파출소,서울특별시 동대문구 답십리로 69길 100,"37.5767834,127.0743654",,,,,,,,,,,,,,,,,,,,
서울동대문,이문,지구대,서울특별시 동대문구 한천로 402,"37.59649170000001,127.0681261",,,,,,,,,,,,,,,,,,,,
서울동대문,휘경,파출소,서울특별시 동대문구 한천로 266,"37.5846694,127.0680102",,,,,,,,,,,,,,,,,,,,
서울동대문,회기,파출소,서울특별시 동대문구 회기로18길 2,"37.5910751,127.0518528",,,,,,,,,,,,,,,,,,,,
서울마포,서강,지구대,"서울특별시 마포구 독막로22길 8(창전동, 서강지구대)","37.5473378,126.9291956",,,,,,,,,,,,,,,,,,,,
서울마포,공덕,지구대,서울특별시 마포구 마포대로 195-1,"37.5517993,126.9540594",,,,,,,,,,,,,,,,,,,,
서울마포,월드컵,지구대,서울특별시 마포구 월드컵북로 30길 24,"37.5687535,126.9090424",,,,,,,,,,,,,,,,,,,,
서울마포,홍익,지구대,서울특별시 마포구 양화로11길 63,"37.5518627,126.9134473",,,,,,,,,,,,,,,,,,,,
서울마포,용강,지구대,서울특별시 마포구 토정로31길 35,"37.5425671,126.9430791",,,,,,,,,,,,,,,,,,,,
서울마포,상암,파출소,서울특별시 마포구 매봉산로 76,"37.5782477,126.8938555",,,,,,,,,,,,,,,,,,,,
서울마포,망원,파출소,서울특별시 마포구 망원로2길 63,"37.5543305,126.9027303",,,,,,,,,,,,,,,,,,,,
서울마포,연남,파출소,서울특별시 마포구 연남로 4,"37.5603349,126.9237597",,,,,,,,,,,,,,,,,,,,
서울영등포,중앙,지구대,서울특별시 영등포구 영등포로46길 14,"37.5180146,126.9075396",,,,,,,,,,,,,,,,,,,,
서울영등포,여의도,지구대,서울특별시 영등포구 여의공원로 120 여의도지구대,"37.529594,126.92667",,,,,,,,,,,,,,,,,,,,
서울영등포,문래,지구대,서울특별시 영등포구 경인로 759,"37.5135703,126.8976399",,,,,,,,,,,,,,,,,,,,
서울영등포,신풍,지구대,서울특별시 영등포구 대방천로 195(신길동 3741-23),"37.49912399999999,126.9127739",,,,,,,,,,,,,,,,,,,,
서울영등포,신길,지구대,서울특별시 영등포구 노량진로 11,"37.5128742,126.9260395",,,,,,,,,,,,,,,,,,,,
서울영등포,양평,파출소,서울특별시 영등포구 선유로 95,"37.5227185,126.8897017",,,,,,,,,,,,,,,,,,,,
서울영등포,당산,지구대,서울특별시 영등포구 당산로 221,"37.5336195,126.901288",,,,,,,,,,,,,,,,,,,,
서울영등포,대림,지구대,서울특별시 영등포구 대림로23길 16-1,"37.4934202,126.8987265",,,,,,,,,,,,,,,,,,,,
서울영등포,대림3,파출소,서울특별시 영등포구 가마산로 334,"37.4990014,126.8966329",,,,,,,,,,,,,,,,,,,,
서울영등포,영등포역,파출소,서울특별시 영등포구 영신로20길 11,"37.5151247,126.9087325",,,,,,,,,,,,,,,,,,,,
서울성동,한양,지구대,서울특별시 성동구 사근동길 5,"37.5603055,127.041766",,,,,,,,,,,,,,,,,,,,
서울성동,성수,지구대,서울특별시 성동구 광나루로2길 35 성수지구대,"37.5481496,127.0551847",,,,,,,,,,,,,,,,,,,,
서울성동,서울숲,지구대,서울특별시 성동구 성덕정길 77-2,"37.5380443,127.0522756",,,,,,,,,,,,,,,,,,,,
서울성동,왕십리,파출소,서울특별시 성동구 마장로 205,"37.5666533,127.0326493",,,,,,,,,,,,,,,,,,,,
서울성동,행당,파출소,서울특별시 성동구 행당로 89,"37.5574251,127.0288558",,,,,,,,,,,,,,,,,,,,
서울성동,옥수,파출소,서울특별시 성동구 독서당로 211,"37.5449597,127.0138463",,,,,,,,,,,,,,,,,,,,
서울성동,금호,파출소,서울특별시 성동구 금호로11길 2-1,"37.5547323,127.0196132",,,,,,,,,,,,,,,,,,,,
서울성동,응봉,파출소,서울특별시 성동구 독서당로 373 응봉파출소,"37.549767,127.0300234",,,,,,,,,,,,,,,,,,,,
서울성동,용답,파출소,서울특별시 성동구 용답중앙길 49 용답파출소,"37.5647586,127.0517402",,,,,,,,,,,,,,,,,,,,
서울동작,사당,지구대,서울특별시 동작구 사당로28길 44,"37.481604,126.9794826",,,,,,,,,,,,,,,,,,,,
서울동작,노량진,지구대,서울특별시 동작구 등용로12나길 2,"37.5111541,126.9332824",,,,,,,,,,,,,,,,,,,,
서울동작,상도,지구대,서울특별시 동작구 등용로 24,"37.5064892,126.9358441",,,,,,,,,,,,,,,,,,,,
서울동작,남성,지구대,서울특별시 동작구 사당로17나길 4,"37.484119,126.9732502",,,,,,,,,,,,,,,,,,,,
서울동작,흑석,지구대,서울특별시 동작구 흑석로13길 13,"37.509369,126.9601429",,,,,,,,,,,,,,,,,,,,
서울동작,신대방,지구대,서울특별시 동작구 신대방1다길 24,"37.4866619,126.9059134",,,,,,,,,,,,,,,,,,,,
서울동작,대방,파출소,서울특별시 동작구 여의대방로 130,"37.498567,126.9206022",,,,,,,,,,,,,,,,,,,,
